cordinates,name
"24.838481,36.056741 24.837383,36.056794",Lakendra Pky 1298 1236
"24.838985,36.056893 24.838481,36.056741",Lakendra Pky 1398 1300
"24.839244,36.054406 24.839763,36.054505",
"24.8399,36.053536 24.839763,36.054505",
"24.8399,36.053536 24.839382,36.053536",
"24.840602,36.05877 24.841777,36.058801",N Alamanas St 6199 6107
"24.842464,36.05802 24.842159,36.058404 24.84196,36.058496 24.841838,36.058587 24.841777,36.058801",N Ionnanon St
"24.83958,36.055116 24.839443,36.055688 24.840343,36.055512 24.840602,36.05565",
"24.840801,36.054536 24.840801,36.05507 24.84074,36.055329 24.840602,36.05565",
"24.840221,36.057504 24.842464,36.05802",Lakendra Pky 1317 1399
"24.839763,36.054505 24.840801,36.054536",
"24.84132,36.053834 24.840938,36.05391 24.84074,36.054009 24.84074,36.054147 24.840801,36.054536",
"24.84132,36.053834 24.840999,36.053407 24.8399,36.053536",
"24.844264,36.06032 24.844264,36.06172",N Pilau St 1918 2098
"24.844264,36.06032 24.844676,36.060464",N Alm St 5799 5717
"24.844676,36.060464 24.845764,36.06032",N Alm St 5715 5705
"24.844692,36.057656 24.844676,36.060464",
"24.844051,36.059342 24.844264,36.06032",N Pilau St 1790 1916
"24.847164,36.06032 24.845764,36.06032",N Alm St 5618 5798
"24.845864,36.05752 24.845764,36.06032",N Zagoriou St 1400 1798
"24.847064,36.06202 24.847164,36.06352",N Leeno St 2100 2298
"24.848464,36.06352 24.847164,36.06352",N Anrop St 5600 5698
"24.847064,36.06202 24.844264,36.06172",N Androutsou St 5700 5898
"24.847164,36.06032 24.847064,36.06202",N Leeno St 1800 2098
"24.848464,36.06192 24.847064,36.06202",N Androutsou St 5600 5698
"24.849664,36.06352 24.848464,36.06352",N Anrop St 5500 5598
"24.848464,36.06192 24.848464,36.06352",N Yonille St 2100 2298
"24.849664,36.06202 24.849664,36.06352",N Scarkeme St 2100 2298
"24.850964,36.06342 24.849664,36.06352",N Anrop St 5400 5498
"24.849664,36.06202 24.848464,36.06192",N Androutsou St 5500 5598
"24.849664,36.06032 24.849664,36.06202",N Scarkeme St 1800 2098
"24.850964,36.06202 24.849664,36.06202",N Androutsou St 5400 5498
"24.848464,36.06032 24.847164,36.06032",N Alm St 5600 5616
"24.847164,36.05752 24.847164,36.06032",N Leeno St 1400 1798
"24.848464,36.06032 24.848464,36.06192",N Yonille St 1800 2098
"24.849664,36.06032 24.848464,36.06032",N Alm St 5500 5598
"24.848364,36.05752 24.848464,36.06032",N Yonille St 1400 1798
"24.849764,36.05752 24.849664,36.06032",N Scarkeme St 1400 1798
"24.850964,36.06032 24.849664,36.06032",N Alm St 5400 5498
"24.844264,36.05812 24.842464,36.05802",Lakendra Pky 5898 5800
"24.844264,36.05762 24.844264,36.05812",N Pilau St 1566 1628
"24.844264,36.05472 24.844264,36.05762",N Pilau St 1190 1564
"24.844264,36.05762 24.844692,36.057656",N Agisilaou St
"24.844692,36.057656 24.845164,36.05752",N Agisilaou St
"24.845164,36.05692 24.845164,36.05752",N Zagoriou St 1314 1398
"24.845864,36.05752 24.845164,36.05752",N Agisilaou St 5716 5848
"24.845064,36.05602 24.845164,36.05692",N Zagoriou St 1216 1312
"24.847164,36.05682 24.845164,36.05692",N Agiasou St 5700 5798
"24.845064,36.05542 24.845064,36.05602",N Zagoriou St 1148 1214
"24.847064,36.05602 24.845064,36.05602",N Agentes St 5700 5798
"24.847164,36.05752 24.845864,36.05752",N Agisilaou St 5700 5714
"24.844036,36.054223 24.844264,36.05472",N Pilau St 1120 1188
"24.847164,36.05472 24.844264,36.05472",N Achilleos St 5426 5898
"24.844036,36.054223 24.843196,36.053826 24.842617,36.053697 24.842037,36.053659 24.841777,36.053666 24.84132,36.053834",
"24.847164,36.05542 24.845064,36.05542",Leonidou St 5700 5798
"24.844136,36.052391 24.844617,36.052247 24.844964,36.052043 24.845218,36.051681 24.845664,36.05032",Skaldis
"24.844036,36.052201 24.844136,36.052391",N Pilau St 854 918
"24.846752,36.053132 24.848264,36.05292",N Ermou St 5613 5601
"24.848364,36.05752 24.847164,36.05752",N Agisilaou St 5600 5698
"24.847164,36.05682 24.847164,36.05752",N Leeno St 1300 1398
"24.849764,36.05752 24.848364,36.05752",N Agisilaou St 5500 5598
"24.847064,36.05602 24.847164,36.05682",N Leeno St 1148 1298
"24.847164,36.05542 24.847064,36.05602",N Leeno St 1034 1146
"24.850964,36.05752 24.849764,36.05752",N Agisilaou St 5400 5498
"24.847164,36.05472 24.847164,36.05542",N Leeno St 900 1032
"24.855064,36.05472 24.847164,36.05472",N Achilleos St 5100 5424
"24.848264,36.05292 24.848264,36.05422",N Yonille St 900 1024
"24.851064,36.05422 24.848264,36.05422",N Idris Dr 5400 5598
"24.849364,36.05292 24.848264,36.05292",N Ermou St 5300 5398
"24.849364,36.05292 24.849364,36.05352",N Scarkeme St 900 1098
"24.850964,36.05352 24.849364,36.05352",N Acera St 5350 5498
"24.854064,36.05292 24.849364,36.05292",N Ermou St 5200 5298
"24.852264,36.07612 24.850963,36.07612",N Bilar St 5300 5398
"24.852364,36.07472 24.852264,36.07612",N Filis St 3550 3698
"24.853364,36.07612 24.852264,36.07612",N Bilar St 5200 5298
"24.850964,36.07242 24.850964,36.07432",N Finiatur St 3300 3498
"24.852364,36.07432 24.850964,36.07432",N Barwyn St 5300 5398
"24.852464,36.07242 24.850964,36.07242",N Bairn St 5300 5412
"24.851064,36.07062 24.850964,36.07242",N Finiatur St 3100 3298
"24.852364,36.07432 24.852364,36.07472",N Filis St 3500 3548
"24.852464,36.07242 24.852364,36.07432",N Filis St 3300 3498
"24.853364,36.07432 24.852364,36.07432",N Barwyn St 5200 5298
"24.852564,36.07052 24.852464,36.07242",N Filis St 3100 3298
"24.853464,36.07492 24.853364,36.07612",N Tolleniau St 3510 3698
"24.853464,36.07492 24.852364,36.07472",Platser St 5200 5298
"24.853364,36.07432 24.853464,36.07492",N Tolleniau St 3500 3508
"24.854964,36.07522 24.855064,36.07662",N Parla St 3600 3698
"24.856264,36.07672 24.855064,36.07662",N Bilar St 5000 5098
"24.856264,36.07522 24.856264,36.07672",N Limnou St 3600 3698
"24.857564,36.07662 24.856264,36.07672",N Bilar St 4900 4998
"24.856264,36.07522 24.854964,36.07522",N Berlau St 5000 5098
"24.855064,36.07432 24.854964,36.07522",N Parla St 3500 3598
"24.856264,36.07432 24.856264,36.07522",N Limnou St 3500 3598
"24.857564,36.07522 24.856264,36.07522",N Berlau St 4900 4998
"24.853864,36.07432 24.853364,36.07432",N Barwyn St
"24.853764,36.07252 24.853864,36.07432",N Tolleniau St 3300 3498
"24.855064,36.07432 24.853864,36.07432",N Barwyn St 5100 5198
"24.853764,36.07252 24.852464,36.07242",N Bairn St 5200 5298
"24.854964,36.07242 24.853764,36.07252",N Bairn St 5100 5198
"24.853764,36.07062 24.853764,36.07252",N Tolleniau St 3100 3298
"24.856264,36.07432 24.855064,36.07432",N Barwyn St 5000 5098
"24.854964,36.07242 24.855064,36.07432",N Parla St 3300 3498
"24.856264,36.07252 24.856264,36.07432",N Limnou St 3300 3498
"24.857564,36.07432 24.856264,36.07432",N Barwyn St 4900 4998
"24.854964,36.07052 24.854964,36.07242",N Parla St 3100 3298
"24.856264,36.07252 24.854964,36.07242",N Bairn St 5000 5098
"24.856264,36.07052 24.856264,36.07252",N Limnou St 3100 3298
"24.857564,36.07242 24.856264,36.07252",N Bairn St 4900 4998
"24.850864,36.06882 24.851064,36.07062",N Finiatur St 3000 3098
"24.852564,36.07052 24.851064,36.07062",N Averof St 5300 5398
"24.850864,36.06882 24.849664,36.06862",N Aveny St 5400 5498
"24.850964,36.06572 24.850864,36.06882",N Finiatur St 2600 2998
"24.852064,36.06902 24.851864,36.06952 24.852564,36.07052",N Filis St 3000 3098
"24.852064,36.06902 24.850864,36.06882",N Aveny St 5300 5398
"24.852364,36.06832 24.852064,36.06902",N Filis St 2900 2998
"24.852364,36.06752 24.852364,36.06832",N Filis St 2800 2898
"24.852464,36.06662 24.852364,36.06752",N Filis St 2700 2798
"24.852364,36.06582 24.850964,36.06572",N Arkadiou St 5232 5362
"24.854964,36.06562 24.852364,36.06582",N Arkadiou St 5100 5230
"24.852364,36.06582 24.852464,36.06662",N Filis St 2600 2698
"24.854964,36.06652 24.852464,36.06662",N Arkadou St 5100 5298
"24.853764,36.07062 24.852564,36.07052",N Averof St 5200 5298
"24.854964,36.07052 24.853764,36.07062",N Averof St 5100 5198
"24.854164,36.06862 24.852364,36.06832",N Asiant St 5114 5298
"24.855064,36.06862 24.854164,36.06862",N Asiant St 5100 5112
"24.854164,36.06862 24.854164,36.06792 24.853964,36.06762 24.852364,36.06752",N Mpinari St 5100 5198
"24.856264,36.07052 24.854964,36.07052",N Averof St 5000 5098
"24.854864,36.06962 24.854964,36.07052",N Parla St 3000 3098
"24.856364,36.06962 24.856264,36.07052",N Limnou St 3000 3098
"24.854864,36.06962 24.852064,36.06902",N Aveny St 5100 5298
"24.855064,36.06862 24.854864,36.06962",N Parla St 2900 2998
"24.856364,36.06962 24.854864,36.06962",N Aveny St 5000 5098
"24.856364,36.06862 24.855064,36.06862",N Asiant St 5000 5098
"24.855064,36.06772 24.855064,36.06862",N Parla St 2712 2898
"24.856364,36.06862 24.856364,36.06962",N Limnou St 2900 2998
"24.857864,36.06952 24.856364,36.06962",N Aveny St 4900 4998
"24.856364,36.06772 24.856364,36.06862",N Limnou St 2800 2898
"24.857864,36.06862 24.856364,36.06862",N Asiant St 4900 4998
"24.856364,36.06772 24.855064,36.06772",N Artakis St 5000 5098
"24.854964,36.06652 24.855064,36.06772",N Parla St 2700 2710
"24.856364,36.06652 24.856364,36.06772",N Limnou St 2700 2798
"24.857964,36.06772 24.856364,36.06772",N Artakis St 4900 4998
"24.854964,36.06562 24.854964,36.06652",N Parla St 2600 2698
"24.856364,36.06652 24.854964,36.06652",N Arkadou St 5000 5098
"24.855064,36.06472 24.854964,36.06562",N Parla St 2472 2598
"24.856364,36.06572 24.856364,36.06652",N Limnou St 2600 2698
"24.857964,36.06652 24.856364,36.06652",N Arkadou St 4900 4998
"24.856364,36.06572 24.854964,36.06562",N Arkadiou St 5000 5098
"24.857864,36.06562 24.856364,36.06572",N Arkadiou St 4900 4998
"24.856364,36.06482 24.856364,36.06572",N Limnou St 2500 2598
"24.857564,36.07522 24.857564,36.07662",N Ithakis St 3600 3698
"24.859064,36.07662 24.857564,36.07662",N Bilar St 4800 4898
"24.859064,36.07522 24.857564,36.07522",N Berlau St 4800 4898
"24.857564,36.07432 24.857564,36.07522",N Ithakis St 3500 3598
"24.859064,36.07522 24.859064,36.07662",N Omirou St 3600 3698
"24.860364,36.07662 24.859064,36.07662",N Bilar St 4700 4798
"24.859064,36.07432 24.859064,36.07522",N Omirou St 3500 3598
"24.860364,36.07522 24.859064,36.07522",N Berlau St 4700 4798
"24.857564,36.07242 24.857564,36.07432",N Ithakis St 3300 3498
"24.859064,36.07432 24.857564,36.07432",N Barwyn St 4800 4898
"24.858964,36.07242 24.857564,36.07242",N Bairn St 4800 4898
"24.857564,36.07062 24.857564,36.07242",N Ithakis St 3100 3298
"24.858964,36.07242 24.859064,36.07432",N Omirou St 3300 3498
"24.860364,36.07432 24.859064,36.07432",N Barwyn St 4700 4798
"24.860364,36.07242 24.858964,36.07242",N Bairn St 4700 4798
"24.859064,36.07052 24.858964,36.07242",N Omirou St 3100 3298
"24.860364,36.07522 24.860364,36.07662",N Ketallinias St 3600 3698
"24.861664,36.07662 24.860364,36.07662",N Bilar St 4600 4698
"24.861664,36.07522 24.860364,36.07522",N Berlau St 4600 4698
"24.860364,36.07432 24.860364,36.07522",N Ketallinias St 3500 3598
"24.861664,36.07522 24.861664,36.07662",N Hacia St 3600 3698
"24.862864,36.07662 24.861664,36.07662",N Bilar St 4500 4598
"24.861664,36.07432 24.861664,36.07522",N Hacia St 3500 3598
"24.862864,36.07522 24.861664,36.07522",N Berlau St 4500 4598
"24.860364,36.07242 24.860364,36.07432",N Ketallinias St 3300 3498
"24.861664,36.07432 24.860364,36.07432",N Barwyn St 4600 4698
"24.861664,36.07242 24.860364,36.07242",N Bairn St 4600 4698
"24.860264,36.07052 24.860364,36.07242",N Ketallinias St 3100 3298
"24.861664,36.07332 24.861664,36.07432",N Hacia St 3400 3498
"24.862964,36.07432 24.861664,36.07432",N Barwyn St 4500 4598
"24.861664,36.07242 24.861664,36.07332",N Hacia St 3300 3398
"24.862864,36.07332 24.861664,36.07332",N Barabla St 4500 4598
"24.861664,36.07062 24.861664,36.07242",N Hacia St 3100 3298
"24.862964,36.07242 24.861664,36.07242",N Bairn St 4500 4598
"24.857564,36.07062 24.856264,36.07052",N Averof St 4910 4998
"24.857964,36.07062 24.857564,36.07062",N Averof St 4900 4908
"24.857864,36.06952 24.857964,36.07062",N Ithakis St 3000 3098
"24.859064,36.07052 24.857964,36.07062",N Averof St 4810 4898
"24.857864,36.06862 24.857864,36.06952",N Ithakis St 2900 2998
"24.859564,36.06952 24.857864,36.06952",N Aveny St 4800 4898
"24.859564,36.06862 24.857864,36.06862",N Asiant St 4800 4898
"24.857964,36.06772 24.857864,36.06862",N Ithakis St 2800 2898
"24.859464,36.07052 24.859064,36.07052",N Averof St 4800 4808
"24.859564,36.06952 24.859464,36.07052",N Omirou St 3000 3098
"24.860264,36.07052 24.859464,36.07052",N Averof St 4700 4798
"24.859564,36.06862 24.859564,36.06952",N Omirou St 2900 2998
"24.861064,36.06952 24.859564,36.06952",N Aveny St 4600 4798
"24.859464,36.06772 24.859564,36.06862",N Omirou St 2800 2898
"24.860964,36.06862 24.859564,36.06862",N Asiant St 4600 4798
"24.857964,36.06652 24.857964,36.06772",N Ithakis St 2700 2798
"24.859464,36.06772 24.857964,36.06772",N Artakis St 4800 4898
"24.857864,36.06562 24.857964,36.06652",N Ithakis St 2600 2698
"24.859464,36.06562 24.857864,36.06562",N Arkadiou St 4800 4898
"24.857864,36.06482 24.857864,36.06562",N Ithakis St 2500 2598
"24.861064,36.06772 24.859464,36.06772",N Artakis St 4600 4798
"24.859564,36.06662 24.857964,36.06652",N Arkadou St 4800 4898
"24.859464,36.06562 24.859564,36.06662",N Omirou St 2600 2798
"24.861064,36.06662 24.859564,36.06662",N Arkadou St 4600 4798
"24.859464,36.06472 24.859464,36.06562",N Omirou St 2500 2598
"24.861064,36.07052 24.860264,36.07052",N Averof St 4600 4698
"24.861064,36.06952 24.861064,36.07052",N Hacia St 3000 3098
"24.860964,36.06862 24.861064,36.06952",N Hacia St 2900 2998
"24.862564,36.06862 24.860964,36.06862",N Asiant St 4500 4598
"24.861064,36.06772 24.860964,36.06862",N Hacia St 2800 2898
"24.861664,36.07062 24.861064,36.07052",N Averof St 4514 4598
"24.862464,36.07042 24.861664,36.07062",N Averof St 4500 4512
"24.862464,36.06962 24.862464,36.07042",N Thessalias St 3000 3098
"24.862464,36.06962 24.861064,36.06952",N Aveny St 4500 4598
"24.862564,36.06862 24.862464,36.06962",N Thessalias St 2900 2998
"24.864164,36.06962 24.862464,36.06962",N Aveny St 4400 4498
"24.864164,36.06862 24.862564,36.06862",N Asiant St 4400 4498
"24.861064,36.06662 24.861064,36.06772",N Hacia St 2700 2798
"24.862564,36.06772 24.861064,36.06772",N Artakis St 4500 4598
"24.861064,36.06572 24.861064,36.06662",N Hacia St 2600 2698
"24.861064,36.06572 24.859464,36.06562",N Arkadiou St 4600 4798
"24.862564,36.06572 24.861064,36.06572",N Arkadiou St 4500 4598
"24.860964,36.06482 24.861064,36.06572",N Hacia St 2500 2598
"24.864164,36.06772 24.862564,36.06772",N Artakis St 4400 4498
"24.862464,36.06672 24.861064,36.06662",N Arkadou St 4500 4598
"24.862564,36.06572 24.862464,36.06672",N Thessalias St 2600 2698
"24.864157,36.066716 24.862464,36.06672",N Arkadou St 4400 4498
"24.864164,36.06572 24.862564,36.06572",N Arkadiou St 4400 4498
"24.850964,36.06202 24.850964,36.06342",Finiatur St 2100 2298
"24.852264,36.06202 24.850964,36.06202",N Androutsou St 5300 5398
"24.850964,36.06032 24.850964,36.06202",Finiatur St 1800 2098
"24.853664,36.06202 24.852264,36.06202",N Androutsou St 5200 5298
"24.852364,36.06032 24.850964,36.06032",N Alm St 5300 5398
"24.850964,36.05752 24.850964,36.06032",Finiatur St 1400 1798
"24.852364,36.06032 24.852364,36.06082",Filis St 1800 1898
"24.852364,36.05752 24.852364,36.06032",Filis St 1200 1798
"24.855064,36.06202 24.853664,36.06202",N Androutsou St 5100 5198
"24.853662,36.060329 24.853664,36.06202",N Tolleniau St 1800 2098
"24.855064,36.06382 24.855064,36.06472",N Parla St 2348 2470
"24.856364,36.06382 24.855064,36.06382",N Antoniadou St 5000 5098
"24.855064,36.06292 24.855064,36.06382",N Parla St 2224 2346
"24.856364,36.06482 24.855064,36.06472",N Arbete St 5000 5098
"24.856364,36.06382 24.856364,36.06482",N Limnou St 2400 2498
"24.857864,36.06482 24.856364,36.06482",N Arbete St 4900 4998
"24.856364,36.06292 24.856364,36.06382",N Limnou St 2200 2398
"24.855064,36.06202 24.855064,36.06292",N Parla St 2100 2222
"24.856364,36.06292 24.855064,36.06292",N Anntigonou St 5000 5098
"24.856364,36.06202 24.855064,36.06202",N Androutsou St 5000 5098
"24.855064,36.06122 24.855064,36.06202",N Parla St 1900 2098
"24.856364,36.06202 24.856364,36.06292",N Limnou St 2100 2198
"24.857916,36.062908 24.856364,36.06292",N Anntigonou St 4900 4998
"24.856464,36.06122 24.856364,36.06202",N Limnou St 1900 2098
"24.857894,36.061982 24.856364,36.06202",N Androutsou St 4900 4998
"24.853662,36.060329 24.852364,36.06032",N Alm St 5200 5298
"24.855064,36.06032 24.853662,36.060329",N Alm St 5100 5198
"24.853764,36.05752 24.853662,36.060329",N Tolleniau St 1400 1798
"24.855064,36.06032 24.855064,36.06122",N Parla St 1800 1898
"24.856464,36.06122 24.855064,36.06122",N Amfitris St 5000 5098
"24.855064,36.05942 24.855064,36.06032",N Parla St 1664 1798
"24.856464,36.06032 24.855064,36.06032",N Alm St 5000 5098
"24.855072,36.05851 24.855064,36.05942",N Parla St 1532 1662
"24.856464,36.05942 24.855064,36.05942",N Alexandrias St 5000 5098
"24.852364,36.05752 24.850964,36.05752",N Agisilaou St 5300 5398
"24.853764,36.05752 24.852364,36.05752",N Agisilaou St 5200 5298
"24.850964,36.05352 24.851064,36.05422",N Finiatur St 1000 1024
"24.854064,36.05422 24.851064,36.05422",N Idris Dr 5200 5398
"24.854164,36.05352 24.850964,36.05352",N Acera St 5200 5348
"24.855064,36.05752 24.853764,36.05752",N Agisilaou St 5100 5198
"24.855064,36.05752 24.855072,36.05851",N Parla St 1400 1530
"24.855064,36.05662 24.855064,36.05752",N Parla St 1300 1398
"24.856464,36.05752 24.855064,36.05752",N Agisilaou St 5000 5098
"24.855064,36.05562 24.855064,36.05662",N Parla St 1200 1298
"24.856468,36.056596 24.855064,36.05662",N Agiasou St 5000 5098
"24.855064,36.05472 24.855064,36.05562",N Parla St 1100 1198
"24.856464,36.05562 24.855064,36.05562",N Agentes St 5000 5098
"24.856464,36.05562 24.856468,36.056596",N Limnou St 1200 1298
"24.854164,36.05352 24.854064,36.05422",N Tolleniau St 1000 1024
"24.854064,36.05292 24.854164,36.05352",N Tolleniau St 900 998
"24.855164,36.05292 24.854064,36.05292",N Ermou St 5100 5198
"24.855164,36.05382 24.855064,36.05472",N Parla St 1000 1098
"24.856464,36.05472 24.855064,36.05472",N Achilleos St 5000 5098
"24.855164,36.05292 24.855164,36.05382",N Parla St 898 998
"24.856464,36.05382 24.855164,36.05382",N Acera St 5000 5098
"24.856464,36.05292 24.855164,36.05292",N Ermou St 5000 5098
"24.855364,36.05192 24.855164,36.05292",N Parla St 846 896
"24.857894,36.063843 24.857864,36.06482",N Ithakis St 2400 2498
"24.859464,36.06472 24.857864,36.06482",N Arbete St 4800 4898
"24.857894,36.063843 24.856364,36.06382",N Antoniadou St 4900 4998
"24.857916,36.062908 24.857894,36.063843",N Ithakis St 2200 2398
"24.859464,36.06382 24.857894,36.063843",N Antoniadou St 4800 4898
"24.857894,36.061982 24.857916,36.062908",N Ithakis St 2100 2198
"24.859464,36.06382 24.859464,36.06472",N Omirou St 2400 2498
"24.859464,36.06292 24.859464,36.06382",N Omirou St 2200 2398
"24.860964,36.06382 24.859464,36.06382",N Antoniadou St 4600 4798
"24.859464,36.06292 24.857916,36.062908",N Anntigonou St 4800 4898
"24.859464,36.06192 24.859464,36.06292",N Omirou St 2100 2198
"24.861064,36.06292 24.859464,36.06292",N Anntigonou St 4600 4798
"24.857964,36.06122 24.856464,36.06122",N Amfitris St 4900 4998
"24.856464,36.06032 24.856464,36.06122",N Limnou St 1800 1898
"24.857964,36.06122 24.857894,36.061982",N Ithakis St 1900 2098
"24.859464,36.06192 24.857894,36.061982",N Androutsou St 4800 4898
"24.857964,36.06032 24.857964,36.06122",N Ithakis St 1800 1898
"24.859464,36.06122 24.857964,36.06122",N Amfitris St 4750 4898
"24.856464,36.05942 24.856464,36.06032",N Limnou St 1600 1798
"24.857964,36.06032 24.856464,36.06032",N Alm St 4900 4998
"24.856466,36.058526 24.856464,36.05942",N Limnou St 1500 1598
"24.859464,36.06032 24.857964,36.06032",N Alm St 4800 4898
"24.859464,36.06122 24.859464,36.06192",N Omirou St 1900 2098
"24.860964,36.06192 24.859464,36.06192",N Androutsou St 4600 4798
"24.860964,36.06122 24.859464,36.06122",N Amfitris St 4600 4748
"24.860964,36.06032 24.859464,36.06032",N Alm St 4600 4798
"24.860964,36.05942 24.859364,36.05942",N Alexandrias St 4600 4798
"24.859364,36.05842 24.859364,36.05942",N Omirou St 1500 1612
"24.860964,36.06482 24.859464,36.06472",N Arbete St 4600 4798
"24.860964,36.06382 24.860964,36.06482",N Hacia St 2400 2498
"24.862564,36.06482 24.860964,36.06482",N Arbete St 4500 4598
"24.861064,36.06292 24.860964,36.06382",N Hacia St 2200 2398
"24.862564,36.06382 24.860964,36.06382",N Antoniadou St 4500 4598
"24.862564,36.06292 24.861064,36.06292",N Anntigonou St 4500 4598
"24.860964,36.06192 24.861064,36.06292",N Hacia St 2100 2198
"24.864164,36.06472 24.862564,36.06482",N Arbete St 4400 4498
"24.862564,36.06292 24.862564,36.06382",N Thessalias St 2200 2398
"24.864164,36.06382 24.862564,36.06382",N Antoniadou St 4400 4498
"24.864164,36.06292 24.862564,36.06292",N Anntigonou St 4400 4498
"24.860964,36.06122 24.860964,36.06192",N Hacia St 1900 2098
"24.862464,36.06192 24.860964,36.06192",N Androutsou St 4500 4598
"24.860964,36.06032 24.860964,36.06122",N Hacia St 1800 1898
"24.862464,36.06122 24.860964,36.06122",N Amfitris St 4500 4598
"24.860964,36.05942 24.860964,36.06032",N Hacia St 1600 1798
"24.862464,36.06032 24.860964,36.06032",N Alm St 4500 4598
"24.862464,36.05942 24.860964,36.05942",N Alexandrias St 4500 4598
"24.860964,36.05842 24.860964,36.05942",N Hacia St 1500 1598
"24.862464,36.06122 24.862464,36.06192",N Thessalias St 1900 2198
"24.864064,36.06192 24.862464,36.06192",N Androutsou St 4400 4498
"24.862464,36.06032 24.862464,36.06122",N Thessalias St 1800 1898
"24.864064,36.06122 24.862464,36.06122",N Amfitris St 4400 4498
"24.862464,36.05942 24.862464,36.06032",N Thessalias St 1600 1798
"24.864064,36.06032 24.862464,36.06032",N Alm St 4400 4498
"24.862464,36.05852 24.862464,36.05942",N Thessalias St 1500 1598
"24.864064,36.05942 24.862464,36.05942",N Alexandrias St 4400 4498
"24.856466,36.058526 24.855072,36.05851",N Alamanas St 5000 5098
"24.856464,36.05752 24.856466,36.058526",N Limnou St 1400 1498
"24.856468,36.056596 24.856464,36.05752",N Limnou St 1300 1398
"24.857964,36.05752 24.856464,36.05752",N Agisilaou St 4900 4998
"24.857964,36.05662 24.857964,36.05752",N Ithakis St 1300 1398
"24.859464,36.05752 24.857964,36.05752",N Agisilaou St 4800 4898
"24.857964,36.05562 24.856464,36.05562",N Agentes St 4900 4998
"24.856464,36.05472 24.856464,36.05562",N Limnou St 1100 1198
"24.857964,36.05662 24.856468,36.056596",N Agiasou St 4900 4998
"24.857964,36.05562 24.857964,36.05662",N Ithakis St 1200 1298
"24.859464,36.05662 24.857964,36.05662",N Agiasou St 4800 4898
"24.857964,36.05472 24.857964,36.05562",N Ithakis St 1100 1198
"24.859464,36.05752 24.859364,36.05842",N Omirou St 1400 1498
"24.860964,36.05842 24.859364,36.05842",N Alamanas St 4600 4798
"24.859464,36.05662 24.859464,36.05752",N Omirou St 1300 1398
"24.860975,36.057531 24.859464,36.05752",N Agisilaou St 4600 4798
"24.859483,36.055662 24.859464,36.05662",N Omirou St 1200 1298
"24.860964,36.05662 24.859464,36.05662",N Agiasou St 4600 4798
"24.859483,36.055662 24.857964,36.05562",N Agentes St 4800 4898
"24.859451,36.054716 24.859483,36.055662",N Omirou St 1100 1198
"24.860991,36.055716 24.859483,36.055662",N Agentes St 4600 4798
"24.857964,36.05472 24.856464,36.05472",N Achilleos St 4900 4998
"24.856464,36.05382 24.856464,36.05472",N Limnou St 1000 1098
"24.857964,36.05382 24.857964,36.05472",N Ithakis St 1000 1098
"24.856464,36.05292 24.856464,36.05382",N Limnou St 900 998
"24.857964,36.05382 24.856464,36.05382",N Acera St 4900 4998
"24.859464,36.05292 24.856464,36.05292",N Ermou St 4800 4998
"24.856464,36.05192 24.856464,36.05292",N Limnou St 800 898
"24.859464,36.05382 24.857964,36.05382",N Acera St 4800 4898
"24.859451,36.054716 24.857964,36.05472",N Achilleos St 4800 4898
"24.859464,36.05382 24.859451,36.054716",N Omirou St 1000 1098
"24.860964,36.05472 24.859451,36.054716",N Achilleos St 4600 4798
"24.859464,36.05292 24.859464,36.05382",N Omirou St 900 998
"24.860964,36.05382 24.859464,36.05382",N Acera St 4600 4798
"24.861064,36.05292 24.859464,36.05292",N Ermou St 4600 4798
"24.859464,36.05192 24.859464,36.05292",N Omirou St 800 898
"24.860975,36.057531 24.860964,36.05842",N Hacia St 1400 1498
"24.860964,36.05662 24.860975,36.057531",N Hacia St 1300 1398
"24.862464,36.05752 24.860975,36.057531",N Agisilaou St 4500 4598
"24.860991,36.055716 24.860964,36.05662",N Hacia St 1200 1298
"24.862464,36.05662 24.860964,36.05662",N Agiasou St 4500 4598
"24.862464,36.05572 24.860991,36.055716",N Agentes St 4500 4598
"24.860964,36.05472 24.860991,36.055716",N Hacia St 1100 1198
"24.862464,36.05852 24.860964,36.05842",N Alamanas St 4500 4598
"24.862464,36.05752 24.862464,36.05852",N Thessalias St 1400 1498
"24.864064,36.05852 24.862464,36.05852",N Alamanas St 4400 4498
"24.862464,36.05662 24.862464,36.05752",N Thessalias St 1300 1398
"24.862464,36.05572 24.862464,36.05662",N Thessalias St 1200 1298
"24.864064,36.05662 24.862464,36.05662",N Agiasou St 4400 4498
"24.862464,36.05472 24.862464,36.05572",N Thessalias St 1100 1198
"24.864064,36.05572 24.862464,36.05572",N Agentes St 4400 4498
"24.860964,36.05382 24.860964,36.05472",N Hacia St 1000 1098
"24.862464,36.05472 24.860964,36.05472",N Achilleos St 4500 4598
"24.861064,36.05292 24.860964,36.05382",N Hacia St 900 998
"24.862464,36.05382 24.860964,36.05382",N Acera St 4500 4598
"24.861064,36.05292 24.860851,36.052514",N Hacia St
"24.862564,36.05292 24.861064,36.05292",N Ermou St 4500 4598
"24.862464,36.05382 24.862464,36.05472",N Thessalias St 1000 1098
"24.864064,36.05472 24.862464,36.05472",N Achilleos St 4400 4498
"24.862564,36.05292 24.862464,36.05382",N Thessalias St 900 998
"24.864164,36.05382 24.862464,36.05382",N Acera St 4400 4498
"24.862464,36.05242 24.862564,36.05292",N Thessalias St 800 898
